epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.528,4.77083,9.22736,4.24084,0,0,0,0,5.40867,28.7567,4.16767,0.00017,0.00017,0.00017
2,251.564,4.83461,8.92981,4.12358,0,0,0,0,5.4122,29.0355,4.17931,0.0002807,0.0002807,0.0002807
3,375.085,4.32725,8.16688,3.91907,0,0,0,0,5.39412,28.6402,4.16519,0.00032012,0.00032012,0.00032012
4,500.027,3.82367,7.3265,3.71048,0,0,0,0,5.35435,27.9054,4.12514,0.00028826,0.00028826,0.00028826
5,627.088,3.71061,6.99858,3.51937,0,0,0,0,5.23471,26.7369,4.009,0.00018512,0.00018512,0.00018512
