epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5383.38,1.7143,1.36405,1.32656,0.91386,0.89269,0.93718,0.61369,1.53987,1.172,1.14576,0.000307,0.000307,0.000307
44,5510.12,1.75976,1.30834,1.33854,0.90905,0.90597,0.95254,0.60902,1.53138,1.08266,1.15636,0.0002905,0.0002905,0.0002905
45,5636.58,1.72818,1.29277,1.31683,0.95503,0.74351,0.89923,0.56979,1.70035,1.21735,1.19074,0.000274,0.000274,0.000274
46,5761.73,1.66915,1.28468,1.3221,0.88871,0.89034,0.94693,0.62896,1.47282,1.08005,1.13271,0.0002575,0.0002575,0.0002575
47,5888.07,1.65934,1.25707,1.30937,0.90749,0.89775,0.95765,0.64356,1.45055,1.0392,1.11926,0.000241,0.000241,0.000241
48,6014.58,1.63994,1.23698,1.33127,0.88617,0.93541,0.96453,0.65064,1.48977,1.02819,1.11593,0.0002245,0.0002245,0.0002245
49,6141.1,1.65402,1.2522,1.30544,0.88676,0.92407,0.94816,0.61942,1.42366,1.03034,1.10696,0.000208,0.000208,0.000208
50,6267.54,1.59321,1.1919,1.24416,0.89336,0.92407,0.95532,0.65304,1.36345,0.99319,1.08782,0.0001915,0.0001915,0.0001915
51,6392.51,1.68743,1.44519,1.35982,0.88677,0.85827,0.91387,0.58598,1.68557,1.22285,1.14629,0.000175,0.000175,0.000175
52,6518.16,1.60854,1.34865,1.31565,0.89075,0.89983,0.94951,0.63575,1.45952,1.09457,1.08538,0.0001585,0.0001585,0.0001585
53,6643.03,1.54226,1.25367,1.2642,0.86441,0.9588,0.94535,0.64027,1.36942,1.02083,1.06673,0.000142,0.000142,0.000142
54,6768.6,1.5248,1.25605,1.26664,0.92913,0.88402,0.94921,0.6351,1.35416,1.05349,1.0692,0.0001255,0.0001255,0.0001255
55,6894.67,1.46152,1.24207,1.25841,0.9315,0.9297,0.95938,0.64301,1.36723,1.01212,1.06373,0.000109,0.000109,0.000109
56,7019.9,1.48179,1.19604,1.24253,0.95039,0.92248,0.96193,0.65471,1.3873,1.01105,1.05891,9.25e-05,9.25e-05,9.25e-05
57,7147.16,1.49767,1.20164,1.2616,0.94477,0.90277,0.97133,0.63916,1.42493,1.01658,1.07349,7.6e-05,7.6e-05,7.6e-05
58,7272.67,1.48766,1.20953,1.26529,0.9482,0.90454,0.97249,0.65101,1.36121,0.99861,1.06714,5.95e-05,5.95e-05,5.95e-05
59,7397.77,1.44966,1.17026,1.23151,0.93677,0.91928,0.97075,0.66032,1.33334,0.98638,1.06185,4.3e-05,4.3e-05,4.3e-05
60,7523.75,1.48056,1.20756,1.23088,0.94954,0.91278,0.96968,0.65404,1.32945,0.98416,1.062,2.65e-05,2.65e-05,2.65e-05
